X,Y,OBJECTID,SPEED_HUMP_TYPE,LOCATION
596001.8152,4789568.674,299,Cushion,29 Cluny Avenue
593264.6813,4790094.2211,300,Cushion,36 Oak Avenue
590647.7869,4787246.3315,301,Cushion,South Bend Road West (20.0m W of West 3rd Street)
594039.709,4789469.0939,302,Cushion,26-24/25-23 Holton Avenue North
589472.9283,4786914.8463,303,Cushion,129/130-126 Lynbrook Drive
595080.7259,4789486.3023,304,Cushion,122 Balsam Avenue North
590039.2889,4786304.5772,305,Cushion,139 Mountbatten Drive
595043.4458,4789361.4397,306,Cushion,48 Balsam Avenue North
590092.8452,4786470.3645,307,Cushion,99/102 Mountbatten Drive
594673.796,4789755.9264,308,Cushion,97-99/100-98 Barnesdale Avenue North
590148.7088,4786663.134,309,Cushion,50 Mountbatten Drive
590825.2529,4786110.4375,310,Cushion,140/141 Ridge Street
596037.1202,4789699.929,311,Cushion,35/36 Dalkeith Avenue
590746.5494,4785835.7866,312,Cushion,201/202 Ridge Street
595495.9643,4788873.5241,313,Cushion,85 Belmont Avenue
589330.2178,4783786.9449,314,Cushion,104/103 Malton Drive
595483.0102,4789368.3415,315,Cushion,203 Glendale Avenue North
589196.7276,4783814.6462,316,Cushion,131 Malton Drive
595523.0706,4789508.257,317,Cushion,237 Glendale Avenue North
589503.6336,4783796.8129,318,Cushion,50 Christie Street
593893.8948,4788677.1236,319,Cushion,109/112 Eastbourne Avenue
589464.2129,4783667.1852,320,Cushion,63-65 Christie Street
588968.0546,4790393.8734,321,Cushion,36-40/37-41 Marion Avenue South
590267.6891,4783314.7454,322,Cushion,100/101-95 Springside Drive
590313.0582,4784448.1736,323,Cushion,199/201 Dicenzo Dr
590545.425,4784518.227,324,Cushion,99/95 Dicenzo Dr
595801.6207,4790194.5658,325,Cushion,82/99 Gertrude Street
595571.0952,4790265.6556,326,Cushion,20/25-27 Gertrude Street
589919.86,4782645.0299,327,Cushion,248 - 249 Seneca Ave
589966.1119,4782787.4044,328,Cushion,221 - 222 Seneca Ave
590007.9641,4782918.6733,329,Cushion,191 - 192 Seneca Ave
583333.6907,4787359.5472,330,Cushion,Old Dundas Road 35m north of Milcreek Court
584856.7912,4790018.5635,331,Cushion,97 Old Ancaster Rd
584788.8129,4789915.2939,332,Cushion,106 Old Ancaster Rd
584740.3429,4789839.7162,333,Cushion,116 Old Anacster Rd
584519.9648,4789602.155,334,Cushion,151 Old Ancaster Rd
584416.1015,4789501.7998,335,Cushion,169 Old Ancaster Rd
591152.6422,4790912.582,336,Cushion,38 - 38_39 Greig St
590436.7024,4790728.8606,337,Cushion,29_31 - 36_38 Lamoreaux St
590439.6689,4788973.8171,338,Cushion,135 - 134_138 Kent St
588418.2774,4790588.5014,339,Cushion,86 - 89 Dromore Cres
588481.07,4790656.4764,340,Cushion,117 - 118 Dromore Cres
587828.3477,4789749.5274,341,Cushion,82 - 85_89 Bowman St
587880.3589,4789911.8979,342,Cushion,32 Bowman St
589564.5712,4791158.3752,343,Cushion,162 - 169 Paradise Rd N
589520.7567,4791014.0118,344,Cushion,97 - 96_98 Paradise Rd N
589316.9275,4791218.282,345,Cushion,165 - 166 Bond St N
589260.803,4791032.9658,346,Cushion,109 - 112 Bond St N
